/Users/tom.wattley/Code/Projects/racing-api-project/racing-etl/src/pipelines/matching_pipeline.py:3: DeprecationWarning: 
Pyarrow will become a required dependency of pandas in the next major release of pandas (pandas 3.0),
(to allow more performant data types, such as the Arrow string type, and better interoperability with other libraries)
but was not found to be installed on your system.
If this would cause problems for you,
please provide us feedback at https://github.com/pandas-dev/pandas/issues/54466
        
  import pandas as pd
2024-03-25T15:43:14Z - INFO     logging_config.py:19 - Matching rp to tf
2024-03-25T15:45:13Z - INFO     logging_config.py:19 - Query SELECT * FROM tf_raw.formatted_tf_entities 
		 | returned 2325300 records |
2024-03-25T15:45:13Z - INFO     logging_config.py:19 - Matching jockeys
2024-03-25T15:45:59Z - INFO     logging_config.py:19 - Query SELECT * FROM rp_raw.unmatched_jockeys 
		 | returned 0 records |
2024-03-25T15:45:59Z - INFO     logging_config.py:19 - Matching trainers
2024-03-25T15:46:45Z - INFO     logging_config.py:19 - Query SELECT * FROM rp_raw.unmatched_trainers 
		 | returned 1 records |
2024-03-25T15:46:45Z - INFO     logging_config.py:19 - Found 1 unique trainers
2024-03-25T15:46:45Z - INFO     logging_config.py:19 - Matching trainers
2024-03-25T15:47:06Z - INFO     logging_config.py:19 - 0/1
2024-03-25T15:47:06Z - INFO     logging_config.py:19 - Entity name: mrsgellis
2024-03-25T15:47:07Z - INFO     logging_config.py:19 - Matching trainer mrsgellis on 2024-03-22
2024-03-25T15:47:07Z - INFO     logging_config.py:19 - Course ID: 55
2024-03-25T15:47:07Z - INFO     logging_config.py:19 - Found match for trainer mrsgellis on 2024-03-22
2024-03-25T15:47:07Z - INFO     logging_config.py:19 - Found 1 matches
2024-03-25T15:47:08Z - INFO     logging_config.py:19 - Truncating staging.trainer
2024-03-25T15:47:08Z - INFO     logging_config.py:19 - Executing query: TRUNCATE TABLE staging.trainer
2024-03-25T15:47:08Z - INFO     logging_config.py:19 - Query executed. Number of rows affected: -1
2024-03-25T15:47:08Z - INFO     logging_config.py:19 - Storing 1 records in staging.trainer
2024-03-25T15:47:09Z - INFO     logging_config.py:19 - Matching horses
2024-03-25T15:47:47Z - INFO     logging_config.py:19 - Query SELECT * FROM rp_raw.unmatched_horses 
		 | returned 10 records |
2024-03-25T15:47:47Z - INFO     logging_config.py:19 - Found 10 unique horses
2024-03-25T15:47:47Z - INFO     logging_config.py:19 - Matching horses
2024-03-25T15:48:10Z - INFO     logging_config.py:19 - 0/10
2024-03-25T15:48:10Z - INFO     logging_config.py:19 - Entity name: cmoncoyney
2024-03-25T15:48:10Z - INFO     logging_config.py:19 - Matching horse cmoncoyney on 2024-03-22
2024-03-25T15:48:10Z - INFO     logging_config.py:19 - Course ID: 56
2024-03-25T15:48:10Z - INFO     logging_config.py:19 - Found match for horse cmoncoyney on 2024-03-22
2024-03-25T15:48:10Z - INFO     logging_config.py:19 - Found match for horse cmoncoyney on 2024-03-22 except trainer
2024-03-25T15:48:10Z - INFO     logging_config.py:19 - 1/10
2024-03-25T15:48:10Z - INFO     logging_config.py:19 - Entity name: sliogan
2024-03-25T15:48:11Z - INFO     logging_config.py:19 - Matching horse sliogan on 2024-03-22
2024-03-25T15:48:11Z - INFO     logging_config.py:19 - Course ID: 23
2024-03-25T15:48:11Z - INFO     logging_config.py:19 - Found match for horse sliogan on 2024-03-22
2024-03-25T15:48:11Z - INFO     logging_config.py:19 - Found match for horse sliogan on 2024-03-22 except trainer
2024-03-25T15:48:11Z - INFO     logging_config.py:19 - 2/10
2024-03-25T15:48:11Z - INFO     logging_config.py:19 - Entity name: cillmocheallog
2024-03-25T15:48:11Z - INFO     logging_config.py:19 - Matching horse cillmocheallog on 2024-03-22
2024-03-25T15:48:11Z - INFO     logging_config.py:19 - Course ID: 23
2024-03-25T15:48:11Z - INFO     logging_config.py:19 - Found match for horse cillmocheallog on 2024-03-22
2024-03-25T15:48:11Z - INFO     logging_config.py:19 - Found match for horse cillmocheallog on 2024-03-22 except trainer
2024-03-25T15:48:11Z - INFO     logging_config.py:19 - 3/10
2024-03-25T15:48:11Z - INFO     logging_config.py:19 - Entity name: adaaylikethis
2024-03-25T15:48:11Z - INFO     logging_config.py:19 - Matching horse adaaylikethis on 2024-03-22
2024-03-25T15:48:11Z - INFO     logging_config.py:19 - Course ID: 23
2024-03-25T15:48:11Z - INFO     logging_config.py:19 - Found match for horse adaaylikethis on 2024-03-22
2024-03-25T15:48:11Z - INFO     logging_config.py:19 - Found match for horse adaaylikethis on 2024-03-22 except trainer
